2026-04-28 18:30:16.3989 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTB" accepted. 
2026-04-28 18:30:16.3989 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTB" started. 
2026-04-28 18:30:16.4040 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-bundle.js - - - 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/index.css' 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui.css' 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui-bundle.js' 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.4040 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.4371 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
2026-04-28 18:30:16.4371 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLT9" completed keep alive response. 
2026-04-28 18:30:16.4371 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTB" completed keep alive response. 
2026-04-28 18:30:16.4371 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui.css - 304 - - 38.6869ms 
